"25/11/2016
Scale: 0.02-0.99
BP:  Residual:1.0E-5
SA:   T1:9000 - T2:2 - Nin:15 - Nout:100
SA2: T1:1.5/1000 - Talpha:0.99 - Phase:200 - Walpha:0.01 - Loopin:10 - Threshold:1/1000";;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BP + SA;;;;;;;;;SA2;;;;;
Runoff_216_TriAn;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
;;;1;0,049739688;29,36%;0,13554563;0,006454554;;25;0,048323439;26,31%;0,090940016;0,004330477;
;;;1;0,053530913;33,25%;0,161162833;0,007674421;;10;0,049745919;28,38%;0,118261779;0,005631513;
;;;1;0,049511693;34,04%;0,120717052;0,005748431;;5;0,045508655;27,63%;0,110997254;0,005285584;
;;;1;0,050822707;25,57%;0,143866997;0,006850809;;9;0,047343036;28,39%;0,117951749;0,00561675;
;;;1;0,050661145;29,60%;0,137923921;0,006567806;;11,6;0,047272865;27,46%;0,105904784;0,005043085;
;;;;;;;;;;;;;;
Runoff_239_ChiemHoa;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
0,1;0,1;341;1;0,054283815;40,67%;0,144685761;0,006028573;;;;;;;
0,2;0,2;624;2;0,052975765;36,24%;0,131718174;0,005488257;;;;;;;
0,01;0,3;101;1;0,119787238;120,64%;0,493034322;0,020543097;;;;;;;
0,3;0,25;573;2;0,048532983;31,19%;0,11509927;0,004795803;;;;;;;
0,05;0,15;494;1;0,055549281;41,92%;0,154575085;0,006440629;;;;;;;
0,132;0,2;426,6;1,4;0,066225816;54,13%;0,207822522;0,008659272;;;;;;;
;;;;;;;;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE;;Time;MAE;MAPE;SSE;MSE;
;;;1;0,053539669;30,22%;0,14823762;0,006176567;;10;0,058295368;35,52%;0,188384593;0,007849358;
;;;1;0,057684401;34,00%;0,149799581;0,006241649;;13;0,057632968;34,22%;0,148268925;0,006177872;
;;;1;0,055622874;29,71%;0,161176778;0,006715699;;9;0,057701392;33,76%;0,164748142;0,006864506;
;;;1;0,055585813;30,64%;0,145331447;0,006055477;;9;0,056860335;33,04%;0,154567214;0,006440301;
;;;1;0,056349542;33,58%;0,152288903;0,006345371;;14;0,060720548;36,04%;0,195081217;0,008128384;
;;;1;0,05575646;31,63%;0,151366866;0,006306953;;11;0,058242122;34,52%;0,170210018;0,007092084;
;;;;;;;;;;;;;;
Runoff_4000_BuonHo;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
0,1;0,1;110;9;0,043228788;40,83%;2,046955423;0,005117389;;;;;;;
0,2;0,2;101;9;0,054572083;54,10%;2,432962281;0,006082406;;;;;;;
0,01;0,3;370;28;0,042339616;37,98%;1,94590072;0,004864752;;;;;;;
0,3;0,25;511;40;0,056505333;56,43%;2,638305985;0,006595765;;;;;;;
0,05;0,15;161;13;0,041696647;37,61%;2,003758915;0,005009397;;;;;;;
0,132;0,2;250,6;19,8;0,047668493;45,39%;2,213576665;0,005533942;;;;;;;
;;;;;;;;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE;;Time;MAE;MAPE;SSE;MSE;
;;;26;0,040084831;33,61%;2,169534403;0,005423836;;55;0,042076208;38,11%;2,144375494;0,005360939;
;;;24;0,040728557;34,75%;2,279895159;0,005699738;;23;0,044565263;40,95%;2,427800216;0,006069501;
;;;23;0,040568582;33,91%;2,098451434;0,005246129;;40;0,041932693;37,97%;2,106495285;0,005266238;
;;;25;0,041940338;36,74%;2,240178507;0,005600446;;14;0,04196773;38,13%;2,124353276;0,005310883;
;;;23;0,041073624;34,39%;2,215118203;0,005537796;;53;0,042051196;38,42%;2,1375729;0,005343932;
;;;24,2;0,040879186;34,68%;2,200635541;0,005501589;;37;0,042518618;38,72%;2,188119434;0,005470299;
;;;;;;;;;;;;;;
Runoff_4000_Cau14;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
0,1;0,1;101;8;0,045633421;43,25%;2,495447518;0,006238619;;;;;;;
0,2;0,2;562;41;0,049940362;49,59%;2,708476614;0,006771192;;;;;;;
0,01;0,3;322;22;0,044311555;39,84%;2,38882558;0,005972064;;;;;;;
0,3;0,25;365;26;0,052964217;52,29%;2,759643456;0,006899109;;;;;;;
0,05;0,15;166;12;0,044056574;39,99%;2,438421402;0,006096054;;;;;;;
0,132;0,2;303,2;21,8;0,047381226;44,99%;2,558162914;0,006395408;;;;;;;
;;;;;;;;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE;;Time;MAE;MAPE;SSE;MSE;
;;;25;0,041342642;37,55%;2,789012427;0,006972531;;32;0,042981096;38,95%;2,608269355;0,006520673;
;;;23;0,04148048;39,19%;2,851256214;0,007128141;;5;0,043537269;39,72%;2,62469751;0,006561744;
;;;22;0,041658453;36,43%;2,538065366;0,006345163;;48;0,042631053;38,59%;2,506131528;0,006265329;
;;;22;0,040548315;36,53%;2,752839926;0,0068821;;29;0,042311228;38,95%;2,460975507;0,006152439;
;;;23;0,042076575;37,35%;2,736011871;0,00684003;;53;0,042829099;38,88%;2,53443561;0,006336089;
;;;23;0,041421293;37,41%;2,733437161;0,006833593;;33,4;0,042857949;39,02%;2,546901902;0,006367255;
;;;;;;;;;;;;;;
Runoff_3000_DucXuyen;;;;;;;;;;;;;;
LearnRate;Momen;Epochs;Time;MAE;MAPE;SSE;MSE;;;;;;;
0,1;0,1;249;13;0,027246091;35,30%;0,494266003;0,001647553;;;;;;;
0,2;0,2;186;10;0,028344031;34,03%;0,557347261;0,001857824;;;;;;;
0,01;0,3;589;32;0,032211726;41,96%;0,735087097;0,00245029;;;;;;;
0,3;0,25;184;10;0,02974042;34,55%;0,631415899;0,00210472;;;;;;;
0,05;0,15;317;17;0,028054896;36,59%;0,512652975;0,001708843;;;;;;;
0,132;0,2;305;16,4;0,029119433;36,49%;0,586153847;0,001953846;;;;;;;
;;;;;;;;;;;;;;
;;;Time;MAE;MAPE;SSE;MSE;;Time;MAE;MAPE;SSE;MSE;
;;;17;0,027229736;35,76%;0,492169171;0,001640564;;38;0,025883721;35,79%;0,473023287;0,001576744;
;;;17;0,027271238;34,63%;0,503215351;0,001677385;;39;0,025656421;34,73%;0,464891792;0,001549639;
;;;17;0,029268094;36,94%;0,562346506;0,001874488;;2;0,025830908;35,35%;0,470911546;0,001569705;
;;;17;0,025933393;34,04%;0,449760785;0,001499203;;25;0,025899052;34,81%;0,474097523;0,001580325;
;;;17;0,027803392;34,97%;0,518621626;0,001728739;;10;0,025549589;34,79%;0,460106727;0,001533689;
;;;17;0,027501171;35,27%;0,505222688;0,001684076;;22,8;0,025763938;35,09%;0,468606175;0,00156202;
